dma_id,finance_type,make_name,model_name,model_year,odometer,price_invoice,price_msrp,price_retail,provider_name,sale_type,state,style_name,tc_region_id,truecar_sale,adjusted_sale_price,curve_rating,curve_average_market_price,discarded,price_ratio
504,LOAN,Acura,TLX,2019,11,35369.26,37195,32517.22,dmi,RETAIL,PA,3.5L FWD,3,FALSE,32826.13,GREAT,33039.13,FALSE,0.882541471
511,UNKNOWN,Jeep,Wrangler,2019,28,33682,34625,28519,reynolds,RETAIL,VA,Sport,5,FALSE,28564.63,LOW_OUTLIER,31882.24,TRUE,0.824971264
656,LOAN,Jeep,Wrangler,2019,15,36066.74,38525,38525,dmi,RETAIL,FL,Sport,5,FALSE,38890.98,HIGH_OUTLIER,36967.48,FALSE,1.009499805
504,UNKNOWN,Jeep,Wrangler,2018,52,40219,41770,40717.28,reynolds,RETAIL,PA,Unlimited Sport S (JL),3,FALSE,40782.42,GOOD,40321.76,FALSE,0.976356715
557,LOAN,Jeep,Wrangler,2019,13,51604.78,56615,51550,netlink,RETAIL,TN,Unlimited Sahara,5,FALSE,51781.97,GREAT,52692.73,FALSE,0.914633401
602,UNKNOWN,Jeep,Wrangler,2018,39,45615,49510,46686,reynolds,RETAIL,IL,Unlimited Sahara (JL),2,FALSE,47261.49,ABOVE_MARKET,46253.12,FALSE,0.95458473
560,UNKNOWN,Jeep,Wrangler,2019,15,50282,53140,48301,reynolds,RETAIL,NC,Unlimited Sahara,5,FALSE,48879.08,GREAT,49431.13,FALSE,0.919817087
544,CASH,Jeep,Cherokee,2019,15,26540,27732,26031.52,dmi,RETAIL,VA,Latitude FWD,5,TRUE,26480.71,GREAT,26609.58,FALSE,0.954879201
511,UNKNOWN,Jeep,Cherokee,2019,2,27466,26735,23226.91,reynolds,DEALER_TRADE,VA,Latitude FWD,5,FALSE,23264.07,GREAT,24719.43,FALSE,0.870172807
528,LOAN,Jeep,Cherokee,2019,10,31685,32445,30342.49,dmi,RETAIL,FL,Limited FWD,5,FALSE,30630.74,GREAT,31357.25,FALSE,0.944081985
866,UNKNOWN,Jeep,Cherokee,2019,536,36622,36880,36534,reynolds,RETAIL,CA,Trailhawk 4WD,7,FALSE,36592.45,ABOVE_MARKET,35656.64,FALSE,0.992203091
652,LOAN,Jeep,Cherokee,2019,497,38738,40040,36196,dmi,RETAIL,NE,Limited 4WD,2,FALSE,35530.36,LOW_OUTLIER,38126.43,TRUE,0.887371628
602,LOAN,Jeep,Cherokee,2019,231,38738,40040,33278.59,dmi,RETAIL,IL,Limited 4WD,2,FALSE,34604.23,LOW_OUTLIER,39013.51,TRUE,0.864241508
617,LOAN,Jeep,Cherokee,2019,126,32719,33610,31754,dmi,RETAIL,WI,Latitude Plus 4WD,2,FALSE,32055.66,GREAT,32445.38,FALSE,0.953753645
602,UNKNOWN,Jeep,Cherokee,2019,14,33157.81,37080.58,32874,reynolds,RETAIL,IL,Latitude Plus 4WD,2,FALSE,32926.59,GOOD,32998.34,FALSE,0.91151
602,UNKNOWN,Jeep,Grand Cherokee,2019,21,35630,35490,32823.99,reynolds,RETAIL,IL,Laredo 4WD,2,FALSE,32876.5,BELOW_MARKET,34150.4,FALSE,0.926359538
504,UNKNOWN,Jeep,Grand Cherokee,2019,25,38999,37080.58,40529,reynolds,RETAIL,PA,Upland 4WD,3,TRUE,40593.84,HIGH_OUTLIER,38130.54,FALSE,0.91151
751,LOAN,Ram,1500 Classic,2019,26,41435,37080.58,38360,dmi,RETAIL,CO,"Express Quad Cab 6'4 Box 4WD""",6,FALSE,38724.42,GREAT,39888.82,FALSE,0.91151
575,LOAN,Ram,1500 Classic,2019,14,46232,49320,50215,dmi,RETAIL,GA,"SLT 4x4 Crew Cab 5'7 Box""",5,FALSE,51196.79,HIGH_OUTLIER,47771.93,TRUE,1.038053325
